Designator,Mid X,Mid Y,Rotation,Layer
C1_7,117.798,-53.2235,0.0,top
C1_6,117.798,-126.034,0.0,top
C1_5,117.798,-82.3477,0.0,top
C1_4,117.798,-96.9098,0.0,top
C1_3,117.798,-140.5961,0.0,top
C1_2,117.798,-67.7856,0.0,top
C1,117.798,-111.4719,0.0,top
C10_7,124.698,-142.7211,90.0,top
C10_6,124.698,-84.4727,90.0,top
C10_5,124.698,-69.9106,90.0,top
C10_4,124.698,-128.159,90.0,top
C10_3,124.698,-99.0348,90.0,top
C10_2,124.698,-55.3485,90.0,top
C10,124.698,-113.5969,90.0,top
C11_7,121.498,-106.5469,90.0,top
C11_6,121.498,-62.8606,90.0,top
C11_5,121.498,-121.109,90.0,top
C11_4,121.498,-77.4227,90.0,top
C11_3,121.498,-91.9848,90.0,top
C11_2,121.498,-135.6711,90.0,top
C11,121.498,-48.2985,90.0,top
C12_7,124.273,-62.8606,90.0,top
C12_6,124.273,-48.2985,90.0,top
C12_5,124.273,-91.9848,90.0,top
C12_4,124.273,-135.6711,90.0,top
C12_3,124.273,-106.5469,90.0,top
C12_2,124.273,-121.109,90.0,top
C12,124.273,-77.4227,90.0,top
C13_7,125.223,-121.109,90.0,top
C13_6,125.223,-135.6711,90.0,top
C13_5,125.223,-48.2985,90.0,top
C13_4,125.223,-62.8606,90.0,top
C13_3,125.223,-106.5469,90.0,top
C13_2,125.223,-77.4227,90.0,top
C13,125.223,-91.9848,90.0,top
C14_7,122.423,-48.2985,90.0,top
C14_6,122.423,-77.4227,90.0,top
C14_5,122.423,-62.8606,90.0,top
C14_4,122.423,-135.6711,90.0,top
C14_3,122.423,-121.109,90.0,top
C14_2,122.423,-91.9848,90.0,top
C14,122.423,-106.5469,90.0,top
C15_7,123.348,-106.5469,90.0,top
C15_6,123.348,-62.8606,90.0,top
C15_5,123.348,-48.2985,90.0,top
C15_4,123.348,-77.4227,90.0,top
C15_3,123.348,-135.6711,90.0,top
C15_2,123.348,-91.9848,90.0,top
C15,123.348,-121.109,90.0,top
C16_7,119.023,-137.3961,180.0,top
C16_6,119.023,-50.0235,180.0,top
C16_5,119.023,-122.834,180.0,top
C16_4,119.023,-64.5856,180.0,top
C16_3,119.023,-108.2719,180.0,top
C16_2,119.023,-79.1477,180.0,top
C16,119.023,-93.7098,180.0,top
C17_4,140.860581,-132.731103,0.0,bottom
C17_3,140.860581,-105.960722,0.0,bottom
C17_2,140.860581,-79.207722,0.0,bottom
C17,140.860581,-52.454722,0.0,bottom
C18_4,139.110581,-132.721103,180.0,bottom
C18_3,139.110581,-105.950722,180.0,bottom
C18_2,139.110581,-79.197722,180.0,bottom
C18,139.110581,-52.444722,180.0,bottom
C19_4,142.970581,-135.336103,0.0,top
C19_3,142.970581,-108.565722,0.0,top
C19_2,142.970581,-81.812722,0.0,top
C19,142.970581,-55.059722,0.0,top
C2_7,117.798,-128.609,0.0,top
C2_6,117.798,-99.4848,0.0,top
C2_5,117.798,-70.3606,0.0,top
C2_4,117.798,-55.7985,0.0,top
C2_3,117.798,-143.1711,0.0,top
C2_2,117.798,-114.0469,0.0,top
C2,117.798,-84.9227,0.0,top
C20_4,141.020581,-139.552981,0.0,top
C20_3,141.020581,-112.7826,0.0,top
C20_2,141.020581,-86.0296,0.0,top
C20,141.020581,-59.2766,0.0,top
C21_4,145.687503,-143.707781,0.0,top
C21_3,145.687503,-116.9374,0.0,top
C21_2,145.687503,-90.1844,0.0,top
C21,145.687503,-63.4314,0.0,top
C22_4,145.687503,-144.746381,0.0,top
C22_3,145.687503,-117.976,0.0,top
C22_2,145.687503,-91.223,0.0,top
C22,145.687503,-64.47,0.0,top
C23_4,145.687503,-141.640581,0.0,top
C23_3,145.687503,-114.8702,0.0,top
C23_2,145.687503,-88.1172,0.0,top
C23,145.687503,-61.3642,0.0,top
C24_4,145.687503,-142.685981,0.0,top
C24_3,145.687503,-115.9156,0.0,top
C24_2,145.687503,-89.1626,0.0,top
C24,145.687503,-62.4096,0.0,top
C25_4,142.970581,-134.267703,180.0,top
C25_3,142.970581,-107.497322,180.0,top
C25_2,142.970581,-80.744322,180.0,top
C25,142.970581,-53.991322,180.0,top
C26_4,145.687503,-135.336103,180.0,top
C26_3,145.687503,-108.565722,180.0,top
C26_2,145.687503,-81.812722,180.0,top
C26,145.687503,-55.059722,180.0,top
C27_4,144.693381,-129.740103,90.0,bottom
C27_3,144.693381,-102.969722,90.0,bottom
C27_2,144.693381,-76.216722,90.0,bottom
C27,144.693381,-49.463722,90.0,bottom
C28_4,142.970581,-138.484581,0.0,top
C28_3,142.970581,-111.7142,0.0,top
C28_2,142.970581,-84.9612,0.0,top
C28,142.970581,-58.2082,0.0,top
C29_4,142.500581,-135.236103,270.0,bottom
C29_3,142.500581,-108.465722,270.0,bottom
C29_2,142.500581,-81.712722,270.0,bottom
C29,142.500581,-54.959722,270.0,bottom
C3_7,118.523,-138.4711,180.0,top
C3_6,118.523,-123.909,180.0,top
C3_5,118.523,-80.2227,180.0,top
C3_4,118.523,-94.7848,180.0,top
C3_3,118.523,-65.6606,180.0,top
C3_2,118.523,-51.0985,180.0,top
C3,118.523,-109.3469,180.0,top
C30_4,148.865581,-135.751103,0.0,bottom
C30_3,148.865581,-108.980722,0.0,bottom
C30_2,148.865581,-82.227722,0.0,bottom
C30,148.865581,-55.474722,0.0,bottom
C31_4,138.850581,-144.746381,180.0,top
C31_3,138.850581,-117.976,180.0,top
C31_2,138.850581,-91.223,180.0,top
C31,138.850581,-64.47,180.0,top
C32_4,138.850581,-140.621381,180.0,top
C32_3,138.850581,-113.851,180.0,top
C32_2,138.850581,-87.098,180.0,top
C32,138.850581,-60.345,180.0,top
C33_4,142.970581,-139.552981,0.0,top
C33_3,142.970581,-112.7826,0.0,top
C33_2,142.970581,-86.0296,0.0,top
C33,142.970581,-59.2766,0.0,top
C4_7,120.873,-97.7848,270.0,top
C4_6,120.873,-141.4711,270.0,top
C4_5,120.873,-54.0985,270.0,top
C4_4,120.873,-112.3469,270.0,top
C4_3,120.873,-126.909,270.0,top
C4_2,120.873,-83.2227,270.0,top
C4,120.873,-68.6606,270.0,top
C5_7,123.098,-140.6711,0.0,top
C5_6,123.098,-111.5469,0.0,top
C5_5,123.098,-82.4227,0.0,top
C5_4,123.098,-126.109,0.0,top
C5_3,123.098,-67.8606,0.0,top
C5_2,123.098,-96.9848,0.0,top
C5,123.098,-53.2985,0.0,top
C58_4,98.145,-86.959,180.0,top
C58_3,98.145,-61.588,180.0,top
C58_2,98.145,-112.33,180.0,top
C58,98.145,-137.701,180.0,top
C59_4,104.368,-61.715,180.0,top
C59_3,104.368,-137.828,180.0,top
C59_2,104.368,-87.086,180.0,top
C59,104.368,-112.457,180.0,top
C6_7,119.523,-54.0985,270.0,top
C6_6,119.523,-126.909,270.0,top
C6_5,119.523,-141.4711,270.0,top
C6_4,119.523,-83.2227,270.0,top
C6_3,119.523,-68.6606,270.0,top
C6_2,119.523,-112.3469,270.0,top
C6,119.523,-97.7848,270.0,top
C60_7,158.969162,-105.613333,180.0,top
C60_6,158.969162,-90.748333,180.0,top
C60_5,158.969162,-75.883333,180.0,top
C60_4,158.969162,-120.478333,180.0,top
C60_3,158.969162,-61.018333,180.0,top
C60_2,158.969162,-46.153333,180.0,top
C60,158.969162,-135.342333,180.0,top
C61_7,165.619162,-105.610833,180.0,top
C61_6,165.619162,-61.015833,180.0,top
C61_5,165.619162,-90.745833,180.0,top
C61_4,165.619162,-46.150833,180.0,top
C61_3,165.619162,-135.339833,180.0,top
C61_2,165.619162,-75.880833,180.0,top
C61,165.619162,-120.475833,180.0,top
C62_4,107.416,-106.615,270.0,top
C62_3,107.416,-81.244,270.0,top
C62_2,107.416,-131.986,270.0,top
C62,107.416,-55.873,270.0,top
C63_4,104.495,-74.894,180.0,top
C63_3,104.495,-125.636,180.0,top
C63_2,104.495,-100.265,180.0,top
C63,104.495,-49.523,180.0,top
C64_4,98.018,-49.523,180.0,top
C64_3,98.018,-125.636,180.0,top
C64_2,98.018,-74.894,180.0,top
C64,98.018,-100.265,180.0,top
C65_4,95.224,-81.371,270.0,top
C65_3,95.224,-132.113,270.0,top
C65_2,95.224,-56.0,270.0,top
C65,95.224,-106.742,270.0,top
C66_4,96.357,-86.959,0.0,top
C66_3,96.357,-61.588,0.0,top
C66_2,96.357,-112.33,0.0,top
C66,96.357,-137.701,0.0,top
C67_4,106.146,-112.457,180.0,top
C67_3,106.146,-137.828,180.0,top
C67_2,106.146,-87.086,180.0,top
C67,106.146,-61.715,180.0,top
C68_4,107.416,-54.095,270.0,top
C68_3,107.416,-104.837,270.0,top
C68_2,107.416,-130.208,270.0,top
C68,107.416,-79.466,270.0,top
C69_4,95.224,-79.593,270.0,top
C69_3,95.224,-54.222,270.0,top
C69_2,95.224,-104.964,270.0,top
C69,95.224,-130.335,270.0,top
C7_7,126.073,-96.6848,0.0,top
C7_6,126.073,-52.9985,0.0,top
C7_5,126.073,-140.3711,0.0,top
C7_4,126.073,-111.2469,0.0,top
C7_3,126.073,-67.5606,0.0,top
C7_2,126.073,-82.1227,0.0,top
C7,126.073,-125.809,0.0,top
C70_4,99.796,-49.523,180.0,top
C70_3,99.796,-125.636,180.0,top
C70_2,99.796,-100.265,180.0,top
C70,99.796,-74.894,180.0,top
C71_4,95.224,-128.43,270.0,top
C71_3,95.224,-52.317,270.0,top
C71_2,95.224,-77.688,270.0,top
C71,95.224,-103.059,270.0,top
C72_4,102.211669,-114.5545,180.0,top
C72_3,102.211669,-89.1835,180.0,top
C72_2,102.211669,-63.8125,180.0,top
C72,102.211669,-139.9255,180.0,top
C73_4,98.548,-117.421,180.0,top
C73_3,98.548,-66.679,180.0,top
C73_2,98.548,-142.792,180.0,top
C73,98.548,-92.05,180.0,top
C74_4,106.937,-66.199,270.0,top
C74_3,106.937,-116.941,270.0,top
C74_2,106.937,-142.312,270.0,top
C74,106.937,-91.57,270.0,top
C75_4,105.087,-63.701,270.0,top
C75_3,105.087,-89.072,270.0,top
C75_2,105.087,-114.443,270.0,top
C75,105.087,-139.814,270.0,top
C76_4,102.211669,-92.05,180.0,top
C76_3,102.211669,-66.679,180.0,top
C76_2,102.211669,-117.421,180.0,top
C76,102.211669,-142.792,180.0,top
C77_4,142.970581,-140.621381,0.0,top
C77_3,142.970581,-113.851,0.0,top
C77_2,142.970581,-87.098,0.0,top
C77,142.970581,-60.345,0.0,top
C78_4,142.970581,-143.707781,0.0,top
C78_3,142.970581,-116.9374,0.0,top
C78_2,142.970581,-90.1844,0.0,top
C78,142.970581,-63.4314,0.0,top
C79_4,144.900581,-132.761103,180.0,bottom
C79_3,144.900581,-105.990722,180.0,bottom
C79_2,144.900581,-79.237722,180.0,bottom
C79,144.900581,-52.484722,180.0,bottom
C8_7,126.073,-138.9711,0.0,top
C8_6,126.073,-51.5985,0.0,top
C8_5,126.073,-80.7227,0.0,top
C8_4,126.073,-66.1606,0.0,top
C8_3,126.073,-95.2848,0.0,top
C8_2,126.073,-124.409,0.0,top
C8,126.073,-109.8469,0.0,top
C80_4,144.900581,-133.681103,180.0,bottom
C80_3,144.900581,-106.910722,180.0,bottom
C80_2,144.900581,-80.157722,180.0,bottom
C80,144.900581,-53.404722,180.0,bottom
C81_4,141.020581,-140.621381,180.0,top
C81_3,141.020581,-113.851,180.0,top
C81_2,141.020581,-87.098,180.0,top
C81,141.020581,-60.345,180.0,top
C82_4,141.020581,-135.336103,180.0,top
C82_3,141.020581,-108.565722,180.0,top
C82_2,141.020581,-81.812722,180.0,top
C82,141.020581,-55.059722,180.0,top
C83_4,142.980581,-144.746381,0.0,top
C83_3,142.980581,-117.976,0.0,top
C83_2,142.980581,-91.223,0.0,top
C83,142.980581,-64.47,0.0,top
C9_7,126.073,-50.1985,0.0,top
C9_6,126.073,-123.009,0.0,top
C9_5,126.073,-93.8848,0.0,top
C9_4,126.073,-108.4469,0.0,top
C9_3,126.073,-79.3227,0.0,top
C9_2,126.073,-137.5711,0.0,top
C9,126.073,-64.7606,0.0,top
FB2_4,144.324703,-144.247781,90.0,top
FB2_3,144.324703,-117.4774,90.0,top
FB2_2,144.324703,-90.7244,90.0,top
FB2,144.324703,-63.9714,90.0,top
J1_7,122.5105,-110.1344,0.0,top
J1_6,122.5105,-139.2586,0.0,top
J1_5,122.5105,-95.5723,0.0,top
J1_4,122.5105,-124.6965,0.0,top
J1_3,122.5105,-66.4481,0.0,top
J1_2,122.5105,-81.0102,0.0,top
J1,122.5105,-51.886,0.0,top
J10_4,138.363581,-130.790703,180.0,bottom
J10_3,138.363581,-104.020322,180.0,bottom
J10_2,138.363581,-77.267322,180.0,bottom
J10,138.363581,-50.514322,180.0,bottom
J11_4,148.136581,-130.790703,180.0,top
J11_3,148.136581,-104.020322,180.0,top
J11_2,148.136581,-77.267322,180.0,top
J11,148.136581,-50.514322,180.0,top
J12_4,148.136581,-130.790703,180.0,bottom
J12_3,148.136581,-104.020322,180.0,bottom
J12_2,148.136581,-77.267322,180.0,bottom
J12,148.136581,-50.514322,180.0,bottom
J13_4,143.250081,-134.818703,0.0,top
J13_3,143.250081,-108.048322,0.0,top
J13_2,143.250081,-81.295322,0.0,top
J13,143.250081,-54.542322,0.0,top
J2_4,138.363581,-130.790703,180.0,top
J2_3,138.363581,-104.020322,180.0,top
J2_2,138.363581,-77.267322,180.0,top
J2,138.363581,-50.514322,180.0,top
J8_4,101.32,-109.536,0.0,top
J8_3,101.32,-58.794,0.0,top
J8_2,101.32,-134.907,0.0,top
J8,101.32,-84.165,0.0,top
J9_7,164.654162,-125.310833,180.0,top
J9_6,164.654162,-95.580833,180.0,top
J9_5,164.654162,-80.715833,180.0,top
J9_4,164.654162,-140.174833,180.0,top
J9_3,164.654162,-65.850833,180.0,top
J9_2,164.654162,-110.445833,180.0,top
J9,164.654162,-50.985833,180.0,top
L2_7,122.973,-55.3485,180.0,top
L2_6,122.973,-69.9106,180.0,top
L2_5,122.973,-142.7211,180.0,top
L2_4,122.973,-128.159,180.0,top
L2_3,122.973,-99.0348,180.0,top
L2_2,122.973,-84.4727,180.0,top
L2,122.973,-113.5969,180.0,top
OSC2_4,102.201,-87.982,180.0,top
OSC2_3,102.201,-62.611,180.0,top
OSC2_2,102.201,-113.353,180.0,top
OSC2,102.201,-138.724,180.0,top
R10_4,143.940581,-134.756103,0.0,bottom
R10_3,143.940581,-107.985722,0.0,bottom
R10_2,143.940581,-81.232722,0.0,bottom
R10,143.940581,-54.479722,0.0,bottom
R11_4,138.850581,-139.552981,0.0,top
R11_3,138.850581,-112.7826,0.0,top
R11_2,138.850581,-86.0296,0.0,top
R11,138.850581,-59.2766,0.0,top
R12_4,141.020581,-144.746381,180.0,top
R12_3,141.020581,-117.976,180.0,top
R12_2,141.020581,-91.223,180.0,top
R12,141.020581,-64.47,180.0,top
R13_4,138.850581,-134.267703,0.0,top
R13_3,138.850581,-107.497322,0.0,top
R13_2,138.850581,-80.744322,0.0,top
R13,138.850581,-53.991322,0.0,top
R14_4,145.687503,-140.621381,0.0,top
R14_3,145.687503,-113.851,0.0,top
R14_2,145.687503,-87.098,0.0,top
R14,145.687503,-60.345,0.0,top
R15_4,148.104503,-137.127381,270.0,top
R15_3,148.104503,-110.357,270.0,top
R15_2,148.104503,-83.604,270.0,top
R15,148.104503,-56.851,270.0,top
R16_4,147.624503,-143.707781,0.0,top
R16_3,147.624503,-116.9374,0.0,top
R16_2,147.624503,-90.1844,0.0,top
R16,147.624503,-63.4314,0.0,top
R17_4,147.624503,-144.746381,0.0,top
R17_3,147.624503,-117.976,0.0,top
R17_2,147.624503,-91.223,0.0,top
R17,147.624503,-64.47,0.0,top
R18_4,147.624503,-141.641981,0.0,top
R18_3,147.624503,-114.8716,0.0,top
R18_2,147.624503,-88.1186,0.0,top
R18,147.624503,-61.3656,0.0,top
R19_4,147.624503,-142.685981,0.0,top
R19_3,147.624503,-115.9156,0.0,top
R19_2,147.624503,-89.1626,0.0,top
R19,147.624503,-62.4096,0.0,top
R2_7,118.148,-135.6711,90.0,top
R2_6,118.148,-48.2985,90.0,top
R2_5,118.148,-106.5469,90.0,top
R2_4,118.148,-121.109,90.0,top
R2_3,118.148,-91.9848,90.0,top
R2_2,118.148,-77.4227,90.0,top
R2,118.148,-62.8606,90.0,top
R3_4,143.940581,-135.716103,0.0,bottom
R3_3,143.940581,-108.945722,0.0,bottom
R3_2,143.940581,-82.192722,0.0,bottom
R3,143.940581,-55.439722,0.0,bottom
R39_4,96.598,-92.025,180.0,top
R39_3,96.598,-117.396,180.0,top
R39_2,96.598,-66.654,180.0,top
R39,96.598,-142.767,180.0,top
R4_4,137.325581,-135.236103,270.0,bottom
R4_3,137.325581,-108.465722,270.0,bottom
R4_2,137.325581,-81.712722,270.0,bottom
R4,137.325581,-54.959722,270.0,bottom
R40_4,95.224,-60.191,90.0,top
R40_3,95.224,-136.304,90.0,top
R40_2,95.224,-110.933,90.0,top
R40,95.224,-85.562,90.0,top
R41_4,95.224,-134.526,270.0,top
R41_3,95.224,-58.413,270.0,top
R41_2,95.224,-83.784,270.0,top
R41,95.224,-109.155,270.0,top
R42_4,95.363,-141.223,270.0,top
R42_3,95.363,-90.481,270.0,top
R42_2,95.363,-115.852,270.0,top
R42,95.363,-65.11,270.0,top
R43_4,100.212,-139.437,90.0,top
R43_3,100.212,-114.066,90.0,top
R43_2,100.212,-88.695,90.0,top
R43,100.212,-63.324,90.0,top
R44_4,95.363,-114.074,90.0,top
R44_3,95.363,-88.703,90.0,top
R44_2,95.363,-63.332,90.0,top
R44,95.363,-139.445,90.0,top
R45_4,100.212,-141.223,270.0,top
R45_3,100.212,-90.481,270.0,top
R45_2,100.212,-115.852,270.0,top
R45,100.212,-65.11,270.0,top
R46_7,158.969162,-70.683333,0.0,top
R46_6,158.969162,-85.548333,0.0,top
R46_5,158.969162,-145.007333,0.0,top
R46_4,158.969162,-130.143333,0.0,top
R46_3,158.969162,-55.818333,0.0,top
R46_2,158.969162,-100.413333,0.0,top
R46,158.969162,-115.278333,0.0,top
R47_7,162.684162,-105.610833,180.0,top
R47_6,162.684162,-61.015833,180.0,top
R47_5,162.684162,-120.475833,180.0,top
R47_4,162.684162,-75.880833,180.0,top
R47_3,162.684162,-46.150833,180.0,top
R47_2,162.684162,-90.745833,180.0,top
R47,162.684162,-135.339833,180.0,top
R48_7,162.684162,-70.683333,180.0,top
R48_6,162.684162,-85.548333,180.0,top
R48_5,162.684162,-130.143333,180.0,top
R48_4,162.684162,-55.818333,180.0,top
R48_3,162.684162,-100.413333,180.0,top
R48_2,162.684162,-145.007333,180.0,top
R48,162.684162,-115.278333,180.0,top
R49_7,160.826662,-120.473333,0.0,top
R49_6,160.826662,-61.013333,0.0,top
R49_5,160.826662,-46.148333,0.0,top
R49_4,160.826662,-90.743333,0.0,top
R49_3,160.826662,-135.337333,0.0,top
R49_2,160.826662,-75.878333,0.0,top
R49,160.826662,-105.608333,0.0,top
R5_7,127.698,-62.8606,270.0,top
R5_6,127.698,-77.4227,270.0,top
R5_5,127.698,-106.5469,270.0,top
R5_4,127.698,-121.109,270.0,top
R5_3,127.698,-48.2985,270.0,top
R5_2,127.698,-91.9848,270.0,top
R5,127.698,-135.6711,270.0,top
R50_7,165.619162,-70.683333,0.0,top
R50_6,165.619162,-115.278333,0.0,top
R50_5,165.619162,-100.413333,0.0,top
R50_4,165.619162,-145.007333,0.0,top
R50_3,165.619162,-85.548333,0.0,top
R50_2,165.619162,-55.818333,0.0,top
R50,165.619162,-130.143333,0.0,top
R51_7,169.334162,-100.413333,180.0,top
R51_6,169.334162,-145.007333,180.0,top
R51_5,169.334162,-115.278333,180.0,top
R51_4,169.334162,-70.683333,180.0,top
R51_3,169.334162,-55.818333,180.0,top
R51_2,169.334162,-130.143333,180.0,top
R51,169.334162,-85.548333,180.0,top
R52_7,167.439162,-75.880833,0.0,top
R52_6,167.439162,-120.475833,0.0,top
R52_5,167.439162,-105.610833,0.0,top
R52_4,167.439162,-135.339833,0.0,top
R52_3,167.439162,-46.150833,0.0,top
R52_2,167.439162,-90.745833,0.0,top
R52,167.439162,-61.015833,0.0,top
R53_4,106.937,-63.701,270.0,top
R53_3,106.937,-114.443,270.0,top
R53_2,106.937,-139.814,270.0,top
R53,106.937,-89.072,270.0,top
R54_4,106.012,-114.443,270.0,top
R54_3,106.012,-63.701,270.0,top
R54_2,106.012,-139.814,270.0,top
R54,106.012,-89.072,270.0,top
R55_7,127.698,-142.8711,90.0,top
R55_6,127.698,-55.4985,90.0,top
R55_5,127.698,-113.7469,90.0,top
R55_4,127.698,-70.0606,90.0,top
R55_3,127.698,-99.1848,90.0,top
R55_2,127.698,-84.6227,90.0,top
R55,127.698,-128.309,90.0,top
R59_4,147.612503,-135.336103,0.0,top
R59_3,147.612503,-108.565722,0.0,top
R59_2,147.612503,-81.812722,0.0,top
R59,147.612503,-55.059722,0.0,top
R60_4,148.104503,-139.122781,270.0,top
R60_3,148.104503,-112.3524,270.0,top
R60_2,148.104503,-85.5994,270.0,top
R60,148.104503,-58.8464,270.0,top
R61_4,142.980581,-132.741103,180.0,bottom
R61_3,142.980581,-105.970722,180.0,bottom
R61_2,142.980581,-79.217722,180.0,bottom
R61,142.980581,-52.464722,180.0,bottom
R62_4,142.980581,-133.671103,180.0,bottom
R62_3,142.980581,-106.900722,180.0,bottom
R62_2,142.980581,-80.147722,180.0,bottom
R62,142.980581,-53.394722,180.0,bottom
R63_4,138.850581,-135.336103,0.0,top
R63_3,138.850581,-108.565722,0.0,top
R63_2,138.850581,-81.812722,0.0,top
R63,138.850581,-55.059722,0.0,top
R8_7,120.673,-106.5469,270.0,top
R8_6,120.673,-91.9848,270.0,top
R8_5,120.673,-62.8606,270.0,top
R8_4,120.673,-135.6711,270.0,top
R8_3,120.673,-77.4227,270.0,top
R8_2,120.673,-121.109,270.0,top
R8,120.673,-48.2985,270.0,top
R9_7,119.848,-62.8606,270.0,top
R9_6,119.848,-48.2985,270.0,top
R9_5,119.848,-91.9848,270.0,top
R9_4,119.848,-77.4227,270.0,top
R9_3,119.848,-106.5469,270.0,top
R9_2,119.848,-135.6711,270.0,top
R9,119.848,-121.109,270.0,top
U1_7,117.798,-69.0856,0.0,top
U1_6,117.798,-83.6477,0.0,top
U1_5,117.798,-54.5235,0.0,top
U1_4,117.798,-112.7719,0.0,top
U1_3,117.798,-141.8961,0.0,top
U1_2,117.798,-98.2098,0.0,top
U1,117.798,-127.334,0.0,top
U17_4,97.803,-140.33,180.0,top
U17_3,97.803,-114.959,180.0,top
U17_2,97.803,-64.217,180.0,top
U17,97.803,-89.588,180.0,top
U18_7,161.329162,-65.850833,90.0,top
U18_6,161.329162,-95.580833,90.0,top
U18_5,161.329162,-50.985833,90.0,top
U18_4,161.329162,-125.310833,90.0,top
U18_3,161.329162,-140.174833,90.0,top
U18_2,161.329162,-80.715833,90.0,top
U18,161.329162,-110.445833,90.0,top
U19_7,167.979162,-50.985833,90.0,top
U19_6,167.979162,-125.310833,90.0,top
U19_5,167.979162,-110.445833,90.0,top
U19_4,167.979162,-65.850833,90.0,top
U19_3,167.979162,-95.580833,90.0,top
U19_2,167.979162,-140.174833,90.0,top
U19,167.979162,-80.715833,90.0,top
U2_7,122.098,-138.1711,0.0,top
U2_6,122.098,-123.609,0.0,top
U2_5,122.098,-94.4848,0.0,top
U2_4,122.098,-79.9227,0.0,top
U2_3,122.098,-50.7985,0.0,top
U2_2,122.098,-109.0469,0.0,top
U2,122.098,-65.3606,0.0,top
U20_4,105.619,-66.199,270.0,top
U20_3,105.619,-142.312,270.0,top
U20_2,105.619,-116.941,270.0,top
U20,105.619,-91.57,270.0,top
U21_4,102.211669,-90.732,180.0,top
U21_3,102.211669,-141.474,180.0,top
U21_2,102.211669,-116.103,180.0,top
U21,102.211669,-65.361,180.0,top
U22_4,103.944,-139.814,270.0,top
U22_3,103.944,-114.443,270.0,top
U22_2,103.944,-63.701,270.0,top
U22,103.944,-89.072,270.0,top
U23_4,147.785581,-133.781103,180.0,bottom
U23_3,147.785581,-107.010722,180.0,bottom
U23_2,147.785581,-80.257722,180.0,bottom
U23,147.785581,-53.504722,180.0,bottom
U24_4,139.935581,-137.488381,0.0,top
U24_3,139.935581,-110.718,0.0,top
U24_2,139.935581,-83.965,0.0,top
U24,139.935581,-57.212,0.0,top
U25_4,139.935581,-142.685981,0.0,top
U25_3,139.935581,-115.9156,0.0,top
U25_2,139.935581,-89.1626,0.0,top
U25,139.935581,-62.4096,0.0,top
U3_4,139.915581,-134.811103,0.0,bottom
U3_3,139.915581,-108.040722,0.0,bottom
U3_2,139.915581,-81.287722,0.0,bottom
U3,139.915581,-54.534722,0.0,bottom
U4_4,142.970581,-142.164581,90.0,top
U4_3,142.970581,-115.3942,90.0,top
U4_2,142.970581,-88.6412,90.0,top
U4,142.970581,-61.8882,90.0,top
U5_4,142.970581,-136.910342,0.0,top
U5_3,142.970581,-110.139961,0.0,top
U5_2,142.970581,-83.386961,0.0,top
U5,142.970581,-56.633961,0.0,top
U6_4,145.901303,-137.978742,90.0,top
U6_3,145.901303,-111.208361,90.0,top
U6_2,145.901303,-84.455361,90.0,top
U6,145.901303,-57.702361,90.0,top
U7_4,142.598059,-129.740103,180.0,bottom
U7_3,142.598059,-102.969722,180.0,bottom
U7_2,142.598059,-76.216722,180.0,bottom
U7,142.598059,-49.463722,180.0,bottom
